Long Term Testing Log File,,,-,2024-04-10_1343
Time,,,,,Param,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Message
""
2024-04-10_1343,,,,,FREQ,8920,1818,23258,21899,18097
2024-04-10_1343,,,,,AMP,2048,2048,64,32768,32768
2024-04-10_1343,,,,,PHASE,254,188,191,274,257
2024-04-10_1343,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-04-10_1343,,,,,,,,,,,PIC & FPGA Initialized - STARTING FPGA
