CROSS-SPECTRA A 5

Header:
Packet Version Number: 0000 = 0 = 0000
Packet Type: 0000 = 0 = 0000
Secondary Header Flag: 0001 = 1 = 0001
App ID: 001010110100 = 692 = 02B4
Sequence Flags: 0011 = 3 = 0003
Sequence Count: 0000000000000100 = 4 = 0004
Packet Data Length: 0000001111111001 = 1017 = 03F9
Coarse Time: 11000000111111111110111000001000 = 3237998088
Fine_Time: 0000010100100111 = 1319 = 0527

HEX
(A1)	(A2)	(A3)	(A4)	(A5)	(A6)	(A7)	(A8)	(A9)	(A10)
C6B	3ED	35C	3AC	527	4D8	4E6	4BC	4CA	47B
D61	4E0	47D	49A	528	4D8	4E6	4BC	4CA	47B
D8F	4FF	470	4B8	528	4D9	4E7	4BC	4CA	47B
D7A	4DE	C2A	499	529	4DA	4E8	4BC	4CA	47B
4B7	C22	B46	BE0	52A	4DB	4E8	4BC	4CA	47B
4A4	C12	B5C	BCF	52B	4DC	4EA	4BC	4CA	47B
4A3	C0E	B3C	BCB	52D	4DD	4EB	4BC	4CA	47B
49F	C0A	B49	BC7	52F	4DF	4ED	4BC	4CB	47B
4A0	C08	B2E	BC6	530	4E1	4EE	4BD	4CB	47B
4A0	C07	B43	BC4	533	4E3	4F1	4BD	4CB	47B
4A2	C06	B42	BC3	535	4E5	4F3	4BD	4CB	47B
4A4	C05	B3E	BC2	539	4E9	4F6	4BD	4CB	47B
4A6	C04	B3C	BC1	53C	4EC	4F9	4BD	4CC	47B
4AA	C04	B45	BC1	540	4F0	4FD	4BE	4CC	47B
4AE	C04	B41	BC0	544	4F4	501	4BE	4CC	47B
4B4	C04	B3F	BC0	54B	4FB	508	4BE	4CC	47B
4B9	C04	B3B	BC0	551	500	50D	4BE	4CD	47B
4C4	C04	B33	BC0	55B	50B	518	4BF	4CD	47B
4D9	C04	B41	BC0	571	521	52D	4BF	4CE	47B
C8F	C05	B43	BBF	D10	CBD	CC8	4C0	4CE	47B
D14	C05	B39	BBF	DAE	D5D	D68	4C1	4CF	47B
CCC	C06	B3B	BBF	D66	D15	D20	4C2	4D0	47B
CB2	C06	B33	BBE	D4C	CFB	D05	4C3	4D1	47B
CA0	C08	B3D	BBF	D3B	CE9	CF3	4C4	4D3	47C
C92	C09	B3B	BBF	D2E	CDB	CE4	4C5	4D4	47C
C87	C0A	B3D	BBF	D23	CD0	CD9	4C6	4D5	47C
C7E	C0C	B41	BBF	D1A	CC7	CCF	4C8	4D7	47C
C76	C0C	B3C	BBF	D13	CBF	CC6	4C9	4D8	47C
C6B	C0F	B3C	BBF	D09	CB4	CBA	4CC	4DB	47C
C5F	C13	B3B	BBF	CFE	CA8	CAC	4D0	4DF	47D
C55	C18	B3A	BC0	CF6	C9E	C9F	4D4	4E4	47D
C4C	C1D	B3B	BC0	CEF	C95	C93	4DA	4EA	47E
C44	C24	B3A	BC0	CEA	C8D	C87	4E1	4F1	47E
C3D	C2C	B37	BC0	CE7	C85	C7C	4EA	4FB	47F
C36	C38	B3D	BC1	CE6	C7E	C70	4F6	507	47F
C30	C49	B3F	BC2	CEA	C78	C64	507	518	480
C2A	C67	B3D	BC2	CFA	C72	C57	525	537	480
C22	42F	B3C	BC3	C2E	C6A	C40	CF6	D09	481
C19	443	B40	BC4	48C	C60	C0B	D01	D15	483
C10	422	B3E	BC5	C56	C57	3F8	CE0	CF5	485
C09	40E	B3F	BC7	C73	C4F	42B	CCD	CE3	486
C01	3FF	B40	BC9	C77	C47	440	CBF	CD6	488
BFB	3F4	B41	BCB	C77	C40	44D	CB3	CCC	48B
