256.0
384.0
512.0
640.0
768.0
896.0
1,024.0
1,152.0
1,280.0
1,408.0
1,536.0
1,664.0
1,792.0
1,920.0
2,048.0
2,176.0
2,304.0
2,432.0
2,624.0
2,880.0
3,136.0
3,392.0
3,648.0
3,904.0
4,160.0
4,416.0
4,672.0
4,928.0
5,312.0
5,824.0
6,336.0
6,848.0
7,360.0
7,872.0
8,384.0
8,896.0
9,408.0
10,176.0
11,200.0
12,224.0
13,248.0
14,272.0
15,296.0
16,320.0
17,344.0
18,368.0
19,392.0
20,928.0
22,976.0
25,024.0
27,072.0
29,120.0
31,168.0
33,216.0
35,264.0
37,312.0
40,384.0
