FBin        FFTr             FFTi             SpectraPower
089       00000181         FFFFFFCE         0000000000024CC5
08A       FFFFFE43         FFFFFF47         0000000000038B3A
08B       0000007C         0000007A         0000000000007634
08C       000000F0         000000B5         00000000000160F9
08D       FFFFFEC1         000000E0         0000000000025181
08E       FFFFFFF5         0000005D         0000000000002242
08F       000000ED         FFFFFF9C         0000000000010279
090       FFFFFF18         FFFFFECB         0000000000024739
091       000000CB         00000355         00000000000BBB32
092       FFFFFF46         FFFFFDB7         000000000005BFF5
093       00000069         000000A4         0000000000009421
094       FFFFFE98         0000007A         0000000000023464
095       000000BA         FFFFFFE2         0000000000008AA8
096       FFFFFFA9         FFFFFF33         000000000000C1BA
097       000000DC         00000004         000000000000BD20
098       0000012A         FFFFFFDE         0000000000015F68
099       FFFFFF8C         000001C7         0000000000035D41
09A       FFFFFF46         FFFFFF0A         0000000000017388
09B       0000017E         00000005         0000000000023A1D
09C       FFFFFE26         00000197         000000000005F4B5
09D       00000139         FFFFFF2E         0000000000022AF5
09E       FFFFFEBF         000000A7         000000000001FF72
09F       00000014         FFFFFFF4         0000000000000220
0A0       FFFFFFF1         0000001B         00000000000003BA
0A1       0000001C         FFFFFFDD         00000000000007D9
0A2       FFFFFF53         FFFFFF6F         000000000000C70A
0A3       000000B8         00000173         0000000000029DE9
0A4       FFFFFF28         FFFFFF8B         000000000000EBB9
0A5       0000006B         0000009C         0000000000008BC9
0A6       FFFFFFBA         00000022         00000000000017A8
0A7       FFFFFFA3         FFFFFFAA         0000000000003EAD
0A8       FFFFFF87         0000000D         00000000000039DA
0A9       FFFFFEAD         00000188         0000000000041929
0AA       000000DF         FFFFFF06         000000000001B665
0AB       0000007F         0000009B         0000000000009CDA
0AC       FFFFFE4F         00000033         000000000002E68A
0AD       FFFFFFE8         00000093         00000000000056A9
0AE       FFFFFF61         00000073         000000000000966A
0AF       FFFFFF7D         00000042         000000000000540D
0B0       0000010D         00000019         0000000000011D1A
0B1       FFFFFEA2         FFFFFF8B         00000000000213FD
0B2       000000A7         00000008         0000000000006D31
0B3       00000062         0000000F         0000000000002665
0B4       FFFFFEBF         FFFFFF6A         000000000001EA65
0B5       FFFFFFAE         00000123         000000000001650D
0B6       00000056         000000D7         000000000000D175
0B7       FFFFFF0B         FFFFFE15         0000000000049832
0B8       00000156         00000098         0000000000022324
0B9       FFFFFECD         00000118         000000000002A269
0BA       00000069         FFFFFEF6         0000000000013F75
0BB       FFFFFF40         00000118         000000000001C240
0BC       000000A1         FFFFFFBD         00000000000076CA
0BD       FFFFFE6F         00000027         0000000000027A12
0BE       FFFFFF56         FFFFFF9C         00000000000097F4
0BF       000000EB         00000019         000000000000DA2A
0C0       FFFFFF54         00000083         000000000000B699
0C1       FFFFFFDC         FFFFFFC7         00000000000011C1
0C2       FFFFFEC7         FFFFFE58         0000000000043CF1
0C3       FFFFFEC0         0000002D         00000000000197E9
0C4       00000109         FFFFFF5F         0000000000017792
0C5       00000027         FFFFFFDA         0000000000000B95
0C6       FFFFFEE0         FFFFFE8D         0000000000035DA9
0C7       FFFFFE1E         00000048         0000000000039FC4
0C8       FFFFFFEC         FFFFFDD6         000000000004B074
0C9       000001A4         FFFFFF61         00000000000313D1
0CA       FFFFFDFD         FFFFFD2C         00000000000C0B99
