FBin        FFTr             FFTi             SpectraPower
114       FFFFF2B6         0000089E         0000000000FADAE8
115       FFFFF51F         000008AE         0000000000C1B005
116       FFFFF70F         00000644         00000000007734F1
117       FFFFF8DA         00000669         00000000005C30B5
118       FFFFF7ED         000003F4         000000000050D1F9
119       FFFFFB82         00000686         00000000003EBC28
11A       FFFFF841         0000021D         00000000004077CA
11B       FFFFFB70         000005E3         0000000000377849
11C       FFFFFBDC         000001B5         0000000000140F09
11D       FFFFFD61         000002C3         00000000000E7F4A
11E       FFFFFAAC         0000034D         00000000002748B9
11F       FFFFFD58         0000022A         00000000000BBD24
120       FFFFFC94         000002CD         0000000000138DB9
121       FFFFFD0E         00000217         00000000000D0AD5
122       FFFFFDD7         0000016C         000000000006B021
123       FFFFFE03         0000016B         000000000005F6C2
124       FFFFFBA9         00000257         0000000000184F22
125       00000095         00000066         0000000000007F5D
126       FFFFFD47         000000EC         0000000000084341
127       FFFFFC8C         00000118         00000000000D1ED0
128       FFFFFEB9         000001D5         000000000004FCEA
129       FFFFFF98         0000015E         00000000000208C4
12A       FFFFFDED         FFFFFF78         00000000000495A9
12B       FFFFFEA3         00000228         0000000000068209
12C       00000007         00000056         0000000000001D15
12D       FFFFFED5         000000FC         0000000000025549
12E       FFFFFEC9         00000136         000000000002F135
12F       00000007         FFFFFFFC         0000000000000041
130       FFFFFEC1         00000301         00000000000A9382
131       FFFFFE29         FFFFFDA3         000000000008F85A
132       000000BA         000001B2         00000000000366E8
133       00000000         00000148         000000000001A440
134       FFFFFE25         FFFFFF95         0000000000039E12
135       0000004C         000001B8         0000000000030AD0
136       FFFFFE75         FFFFFF5C         000000000002CA89
137       00000021         00000038         0000000000001081
138       FFFFFFE0         000001EC         000000000003B590
139       FFFFFE89         FFFFFDF3         00000000000659FA
13A       FFFFFFD8         0000029B         000000000006D019
13B       FFFFFFA3         FFFFFEA5         000000000001F822
13C       00000049         00000098         0000000000006F11
13D       FFFFFDCE         0000005D         000000000004F38D
13E       00000129         000000F9         0000000000024AC2
13F       FFFFFD72         FFFFFEA8         0000000000085504
140       00000363         000002B7         000000000012D71A
141       FFFFFDE0         FFFFFE77         000000000006DF51
142       FFFFFF6A         00000004         00000000000057F4
143       00000069         00000007         0000000000002B42
144       FFFFFF19         000001A5         00000000000384CA
145       00000098         FFFFFE61         000000000002FB01
146       00000060         00000241         0000000000053881
147       FFFFFEA2         FFFFFE1E         0000000000056A08
148       FFFFFF2D         00000239         0000000000059E9A
149       000000B0         FFFFFEE3         000000000001B649
14A       FFFFFFEA         0000001E         0000000000000568
14B       FFFFFF82         00000003         0000000000003E0D
14C       FFFFFEC0         000000E8         0000000000026240
14D       000000BB         FFFFFF46         0000000000010FBD
14E       0000011D         00000043         0000000000014ED2
14F       FFFFFE61         000000A6         0000000000030C65
150       00000050         FFFFFFA4         0000000000003A10
151       00000095         FFFFFE93         0000000000025F22
152       00000019         000001A2         000000000002ACF5
153       FFFFFF5E         FFFFFFB6         0000000000007BE8
154       0000007F         00000052         0000000000005945
155       FFFFFFF9         FFFFFF5A         0000000000006BD5
156       FFFFFF26         0000003D         000000000000C82D
157       0000005A         00000093         000000000000740D
158       FFFFFFB9         FFFFFFFD         00000000000013BA
159       FFFFFF88         00000029         0000000000003ED1
15A       000000CF         0000000B         000000000000A7DA
15B       FFFFFFBB         00000052         0000000000002CDD
15C       FFFFFEA3         000000FA         000000000002CFED
15D       000000FC         FFFFFF1B         000000000001C4E9
15E       FFFFFFD5         000000A0         0000000000006B39
15F       FFFFFF81         00000104         0000000000014711
160       FFFFFE56         FFFFFE44         000000000005C6F4
161       000001FF         000000D0         000000000004A501
162       FFFFFFC9         00000066         0000000000003475
163       FFFFFF49         FFFFFF17         00000000000156E2
164       FFFFFF46         000002C8         0000000000084364
165       0000023F         FFFFFE06         000000000008F3A5
166       FFFFFDFA         0000010C         00000000000530B4
167       00000150         0000007B         000000000001F419
168       FFFFFE37         FFFFFFE0         00000000000333D1
169       FFFFFF52         FFFFFFA2         00000000000098C8
16A       FFFFFF97         FFFFFFAE         0000000000004555
16B       00000108         0000015A         000000000002E3E4
16C       FFFFFF6F         FFFFFF22         00000000000112A5
16D       0000016D         000000B5         0000000000028862
16E       FFFFFE15         FFFFFDB2         000000000008FD7D
16F       0000012F         0000020C         0000000000059731
170       FFFFFFB6         00000052         0000000000002FA8
171       FFFFFFEA         FFFFFECA         0000000000017948
172       000000BD         0000018C         000000000002F019
173       FFFFFF30         FFFFFE6A         0000000000032CE4
174       00000059         0000008C         0000000000006B81
175       FFFFFFCF         FFFFFF9F         0000000000002E22
176       FFFFFF08         000000F6         000000000001DCA4
177       FFFFFFF4         FFFFFEA6         000000000001D434
178       FFFFFF80         000000C9         000000000000DDD1
179       000000E0         000000A6         0000000000012FA4
17A       FFFFFFCF         0000005E         0000000000002BE5
17B       FFFFFE45         FFFFFE48         000000000005F2D9
17C       000000B7         000001E7         0000000000042142
17D       000000E8         FFFFFEEC         000000000001FBD0
17E       FFFFFE6B         FFFFFFCE         0000000000028A7D
17F       FFFFFF30         00000015         000000000000AAB9
180       000000D6         FFFFFFF9         000000000000B315
181       FFFFFF5A         00000076         000000000000A208
182       00000057         FFFFFF39         000000000000B842
183       00000095         FFFFFFB6         0000000000006C1D
184       FFFFFE68         000000CB         0000000000032B39
185       000000E4         FFFFFF7F         0000000000010C11
186       FFFFFEF0         00000085         0000000000016619
187       00000112         FFFFFF35         000000000001C63D
188       FFFFFFEC         0000011A         0000000000013834
189       FFFFFF49         FFFFFEBD         0000000000021A5A
18A       0000001C         FFFFFFC2         0000000000001214
18B       00000068         0000011D         0000000000016789
18C       FFFFFF8E         FFFFFFE2         0000000000003648
18D       00000077         0000009E         00000000000098D5
18E       FFFFFF4B         FFFFFE52         000000000003523D
18F       0000002E         00000194         00000000000285D4
190       FFFFFFC0         FFFFFF08         0000000000010040
191       FFFFFEC6         FFFFFF7A         000000000001C748
192       00000014         00000090         0000000000005290
193       000002CD         FFFFFF64         0000000000083739
194       FFFFFE3A         FFFFFF58         0000000000039364
195       00000013         000001C6         000000000003268D
196       FFFFFFF2         FFFFFE87         0000000000022BF5
197       000000DE         000001A0         0000000000036484
198       0000001C         FFFFFFBC         0000000000001520
199       FFFFFF49         FFFFFFC2         00000000000091D5
19A       0000001D         FFFFFF6C         00000000000058D9
19B       00000020         00000033         0000000000000E29
19C       000000A5         0000000C         0000000000006AE9
19D       FFFFFED6         00000148         000000000002FF24
19E       FFFFFFA1         FFFFFE22         0000000000039FC5
19F       00000080         00000082         0000000000008204
1A0       0000003F         00000084         0000000000005391
1A1       FFFFFFE2         FFFFFF19         000000000000D3F5
1A2       000001AF         00000164         000000000004C4B1
1A3       FFFFFF85         FFFFFF51         000000000000B2BA
1A4       FFFFFFD8         FFFFFF46         0000000000008D64
1A5       00000007         00000195         00000000000280EA
1A6       FFFFFFFF         FFFFFEBA         0000000000019F25
1A7       FFFFFF51         00000094         000000000000CD31
1A8       000000C4         FFFFFFE4         0000000000009920
1A9       FFFFFF38         FFFFFE1A         00000000000436E4
1AA       FFFFFFCC         000000E5         000000000000D769
1AB       000000AA         0000000F         00000000000071C5
1AC       FFFFFE12         000000C2         0000000000044C48
1AD       00000230         FFFFFEE1         0000000000060AC1
1AE       FFFFFDA6         0000004C         0000000000059E34
1AF       00000247         00000169         0000000000072CC2
1B0       FFFFFD7D         FFFFFF5F         000000000006B44A
1B1       00000062         000000E5         000000000000F25D
1B2       FFFFFF90         FFFFFED7         0000000000018991
1B3       00000081         00000092         0000000000009445
1B4       00000162         00000002         000000000001E988
1B5       FFFFFDDD         FFFFFFF0         00000000000491C9
1B6       0000003E         FFFFFF83         0000000000004C0D
1B7       FFFFFF57         0000025C         00000000000600A1
1B8       000000E5         FFFFFF3F         0000000000015E5A
1B9       0000013C         FFFFFEB2         00000000000339D4
1BA       FFFFFF2F         00000063         000000000000D0EA
1BB       00000108         00000006         0000000000011064
1BC       FFFFFE58         FFFFFFC4         000000000002CC50
1BD       000000E4         0000026D         000000000006AD79
1BE       FFFFFF8A         FFFFFD8E         0000000000063128
1BF       000001E7         000000F0         0000000000047F71
1C0       FFFFFE19         FFFFFF3F         0000000000042FF2
1C1       000000B3         000000DA         00000000000136CD
1C2       FFFFFF43         00000080         000000000000CB89
1C3       00000032         FFFFFF2E         000000000000B608
1C4       FFFFFFB7         FFFFFF9E         0000000000003A55
1C5       FFFFFFD9         0000010C         0000000000011E81
1C6       00000054         FFFFFFE9         0000000000001DA1
1C7       FFFFFFEA         FFFFFFC1         0000000000001165
1C8       FFFFFFA7         FFFFFEDB         0000000000016E4A
1C9       0000002B         00000161         000000000001EDFA
1CA       FFFFFFB4         FFFFFE8D         0000000000023039
1CB       00000093         FFFFFFC0         0000000000006469
1CC       FFFFFE51         000001E7         0000000000067412
1CD       000000CE         FFFFFE3F         000000000003B945
1CE       00000000         FFFFFFEF         0000000000000121
1CF       FFFFFEF4         000000B9         0000000000019E41
1D0       FFFFFFBE         00000028         0000000000001744
1D1       000000E9         FFFFFFA9         000000000000F1A2
1D2       FFFFFF03         FFFFFF01         000000000001F80A
1D3       0000010F         0000023F         0000000000062A62
1D4       0000003E         FFFFFE6C         0000000000028C94
1D5       FFFFFE75         0000003D         0000000000027002
1D6       00000168         0000007B         0000000000023559
1D7       00000026         FFFFFFA5         00000000000025FD
1D8       FFFFFE28         FFFFFFD3         0000000000036E29
1D9       000001A0         0000009B         00000000000301D9
1DA       FFFFFEA7         00000056         000000000001EDD5
1DB       00000105         FFFFFF25         000000000001C572
1DC       00000032         000001A0         000000000002ADC4
1DD       FFFFFF58         FFFFFFF0         0000000000006F40
1DE       000000C0         FFFFFFB7         000000000000A4D1
1DF       FFFFFE84         FFFFFED4         00000000000393A0
1E0       000000C3         0000007F         000000000000D38A
1E1       FFFFFF91         00000164         0000000000021F31
1E2       FFFFFFAC         FFFFFF0C         0000000000010420
1E3       0000003B         000000FB         00000000000103B2
1E4       FFFFFFA1         FFFFFFD2         0000000000002B85
1E5       FFFFFFE9         FFFFFF1E         000000000000C995
1E6       FFFFFFDB         00000160         000000000001E959
1E7       000001A3         FFFFFE26         0000000000061B6D
1E8       FFFFFDFD         0000000F         0000000000040CEA
1E9       000000A7         000000D6         0000000000011FD5
1EA       FFFFFF75         00000011         0000000000004C9A
1EB       00000130         FFFFFF4E         000000000001E4C4
1EC       FFFFFED9         000000A8         000000000001C231
1ED       FFFFFF27         FFFFFF78         0000000000010031
1EE       00000098         FFFFFF56         000000000000CB24
1EF       FFFFFEFF         00000175         000000000003217A
1F0       0000010E         00000039         0000000000012975
1F1       FFFFFE9E         FFFFFF8F         0000000000021B65
1F2       00000105         FFFFFF97         000000000001352A
1F3       FFFFFEF1         0000010E         0000000000023BA5
1F4       000000A3         FFFFFF6E         000000000000BB0D
1F5       000000D2         00000027         000000000000B235
1F6       FFFFFF10         FFFFFFDF         000000000000E541
1F7       FFFFFF6F         00000084         0000000000009631
1F8       000000A6         FFFFFEB2         0000000000021F68
1F9       00000038         00000108         0000000000011C80
1FA       FFFFFF59         FFFFFF0E         00000000000151B5
1FB       0000004D         000000A5         0000000000008182
1FC       0000016D         0000010D         0000000000032312
1FD       FFFFFE22         FFFFFFA6         0000000000039C28
1FE       00000178         0000003C         0000000000023650
1FF       FFFFFF81         FFFFFFBA         0000000000005225
000       FFFFFF6F         00000000         0000000000005221
001       FFFFFFF5         FFFFFE4F         000000000002DCDA
002       FFFFFE58         000001B2         0000000000059E04
003       00000064         FFFFFF89         0000000000005E61
004       00000044         FFFFFE9A         00000000000206B4
005       000000F5         00000221         00000000000572BA
006       FFFFFF7F         FFFFFF18         0000000000011341
007       FFFFFFB5         FFFFFFBE         00000000000026FD
008       00000160         0000000C         000000000001E490
009       FFFFFF3D         000000B3         00000000000111B2
00A       FFFFFFF4         FFFFFF46         00000000000087B4
00B       FFFFFF83         FFFFFF2B         000000000000EE42
00C       00000148         00000212         000000000005ED84
00D       FFFFFE9D         FFFFFE05         000000000005D862
00E       FFFFFFCF         00000164         000000000001F871
00F       00000094         FFFFFFD2         0000000000005DD4
010       0000001B         FFFFFEF0         00000000000123D9
011       FFFFFE4A         00000147         0000000000048F15
012       000002DD         FFFFFDC7         00000000000D237A
013       FFFFFE2A         00000243         0000000000087C6D
014       00000083         0000002A         00000000000049ED
015       FFFFFFBD         FFFFFF65         0000000000006F62
016       FFFFFFD1         FFFFFED6         0000000000016385
017       0000025C         0000015D         0000000000076CD9
018       FFFFFE64         0000007C         000000000002D320
019       00000142         FFFFFEBF         0000000000032785
01A       0000001C         000000AB         0000000000007549
01B       FFFFFE4E         0000005F         0000000000030305
01C       FFFFFF63         FFFFFF82         0000000000009E4D
01D       000000B2         000000BB         000000000001045D
01E       FFFFFF34         FFFFFEDB         000000000001F1E9
01F       0000013A         000000B5         000000000002011D
020       00000086         FFFFFFC0         0000000000005624
021       FFFFFDFB         0000005F         000000000004375A
022       000000C2         FFFFFEC3         0000000000021B8D
023       FFFFFF13         0000024C         00000000000621F9
024       000000D5         FFFFFECC         00000000000223C9
025       FFFFFFE7         0000001F         0000000000000632
026       FFFFFF48         00000044         0000000000009650
027       0000012A         FFFFFF6C         000000000001B074
028       00000154         FFFFFFB9         000000000001D741
029       FFFFFEC9         00000080         000000000001B9D1
02A       0000006C         FFFFFFDC         00000000000032A0
02B       0000001E         0000008F         0000000000005365
02C       FFFFFF95         00000028         00000000000032F9
02D       00000108         00000004         0000000000011050
02E       0000007C         FFFFFFC2         0000000000004B14
02F       FFFFFE70         FFFFFF0D         00000000000357A9
030       00000256         00000071         000000000005A6C5
031       FFFFFEB3         0000002C         000000000001B8B9
032       000000A4         00000044         0000000000007B20
033       0000013E         00000002         0000000000018B08
034       FFFFFEE7         00000036         0000000000013FD5
035       00000115         FFFFFEF8         0000000000023BF9
036       FFFFFF37         000000AF         0000000000011572
037       00000071         0000005B         000000000000523A
038       0000003F         FFFFFFEE         00000000000010C5
039       FFFFFF2C         00000034         000000000000BA20
03A       FFFFFFB9         FFFFFFA4         00000000000034C1
03B       FFFFFFB6         00000104         0000000000011D74
03C       00000135         FFFFFF32         0000000000021ABD
03D       FFFFFFBE         FFFFFF0B         000000000000FB7D
03E       FFFFFEBB         000000FE         000000000002989D
03F       000000B0         FFFFFFC0         0000000000008900
040       0000007A         000000F1         0000000000011D05
041       FFFFFEEE         FFFFFFBA         0000000000013868
042       00000128         FFFFFFAE         0000000000017084
043       FFFFFEF4         0000009F         0000000000017B51
044       FFFFFF9B         FFFFFF53         0000000000009CC2
045       0000012F         FFFFFFCC         0000000000017131
046       FFFFFF58         00000038         0000000000007A80
047       00000235         000000D2         0000000000058B3D
048       FFFFFED1         FFFFFFA0         0000000000018AA1
049       FFFFFE37         000000B9         000000000003B582
04A       0000018C         FFFFFE86         00000000000492B4
04B       FFFFFF6A         00000012         0000000000005928
04C       FFFFFF20         000000AF         0000000000013BA1
04D       000001CE         0000004D         00000000000358ED
04E       FFFFFFCD         FFFFFF05         0000000000010042
04F       FFFFFF8F         000000CE         000000000000D7A5
050       0000000A         FFFFFF83         0000000000003D6D
051       FFFFFF8A         FFFFFFB1         0000000000004EC5
052       00000165         000001A8         000000000004B019
053       FFFFFFB0         FFFFFEFC         0000000000012110
054       000000A8         FFFFFFC4         0000000000007C50
055       FFFFFF7D         0000009B         000000000000A0E2
056       00000241         FFFFFE04         0000000000090491
057       0000001F         00000270         000000000005F4C1
058       00000050         FFFFFF36         000000000000B864
059       FFFFFEFC         00000089         0000000000015161
05A       00000082         FFFFFF18         0000000000011444
05B       FFFFFFCE         00000121         0000000000015005
05C       FFFFFF48         FFFFFF88         000000000000BC80
05D       FFFFFFF2         00000057         0000000000001E55
05E       FFFFFFDB         00000014         00000000000006E9
05F       00000102         FFFFFF22         000000000001C488
060       FFFFFFE3         000000F9         000000000000F57A
061       FFFFFFBE         00000006         0000000000001128
062       0000015F         FFFFFF56         0000000000025225
063       FFFFFF3A         00000005         000000000000993D
064       00000090         0000006C         0000000000007E90
065       FFFFFF3E         00000129         000000000001EB95
066       FFFFFFFD         FFFFFDF1         0000000000043CEA
067       FFFFFFA7         000000B9         000000000000A4A2
068       FFFFFFEE         00000068         0000000000002B84
069       00000114         00000063         0000000000014FD9
06A       00000001         FFFFFF36         0000000000009F65
06B       FFFFFFA3         0000009D         0000000000008212
06C       000000DE         00000014         000000000000C214
06D       000000DD         FFFFFFC5         000000000000CC62
06E       FFFFFF5A         FFFFFF6E         000000000000BEE8
06F       0000012D         0000005B         0000000000018242
070       FFFFFF33         FFFFFFCF         000000000000AD8A
071       0000005B         0000014B         000000000001CC52
072       FFFFFF5E         FFFFFE53         000000000003356D
073       FFFFFF83         000000E7         0000000000010D7A
074       00000162         FFFFFFDD         000000000001EE4D
075       FFFFFEB7         0000009A         0000000000020375
076       000000ED         FFFFFE85         0000000000030C82
077       00000107         00000115         00000000000239EA
078       FFFFFF6C         FFFFFF2F         0000000000010031
079       FFFFFF9E         0000015D         000000000002014D
07A       000000F6         FFFFFF39         0000000000018715
07B       FFFFFE65         00000037         0000000000029FAA
07C       00000040         FFFFFF1B         000000000000DCD9
07D       0000020D         00000111         00000000000557CA
07E       FFFFFEFB         00000053         0000000000012502
07F       00000106         FFFFFEDD         00000000000256ED
080       FFFFFE85         00000070         0000000000026219
081       000000BF         0000001A         0000000000009125
082       000000AB         00000093         000000000000C6A2
083       FFFFFF2C         FFFFFF13         0000000000018AF9
084       000000D4         FFFFFFC8         000000000000BBD0
085       FFFFFE29         0000018D         000000000005CA3A
086       0000015F         FFFFFF61         0000000000024402
087       FFFFFF6A         00000080         00000000000097E4
088       FFFFFF77         FFFFFE97         0000000000024662
089       00000138         00000128         000000000002D280
08A       FFFFFEC2         FFFFFF9A         000000000001B3A8
08B       000001EE         00000064         000000000003E054
08C       FFFFFF12         FFFFFFCA         000000000000E8A8
08D       0000003E         0000005D         00000000000030CD
08E       FFFFFF66         FFFFFFFA         0000000000005CC8
08F       00000055         000000A8         0000000000008A79
090       000000B7         FFFFFEB0         0000000000023BD1
091       FFFFFFAD         000001AC         000000000002E679
092       FFFFFF17         FFFFFDD1         00000000000598B2
093       000001F0         000001E6         0000000000075BA4
094       FFFFFF1E         FFFFFFA6         000000000000E728
095       00000081         00000085         000000000000861A
096       00000076         FFFFFF10         0000000000011764
097       FFFFFD56         00000013         0000000000071A4D
098       00000123         00000032         000000000001548D
099       FFFFFFA8         00000064         0000000000004550
09A       FFFFFFBF         FFFFFFCA         0000000000001BE5
09B       00000043         000000D3         000000000000BF72
09C       FFFFFFAF         FFFFFF57         0000000000008932
09D       00000090         FFFFFF6F         000000000000A321
09E       FFFFFFB9         0000007C         0000000000004FC1
09F       00000197         00000162         0000000000047095
0A0       FFFFFFBE         FFFFFDEC         0000000000046294
0A1       00000042         000001E8         000000000003B344
0A2       00000030         FFFFFF4E         00000000000084C4
0A3       FFFFFF3E         0000004B         000000000000A8FD
0A4       00000190         FFFFFFD6         00000000000277E4
0A5       FFFFFECC         00000046         00000000000185B4
0A6       000000DC         FFFFFF5D         00000000000124D9
0A7       00000125         0000016D         00000000000357C2
0A8       FFFFFE5C         FFFFFECB         0000000000042609
0A9       0000032D         00000074         00000000000A4A79
0AA       FFFFFFB7         FFFFFFD0         0000000000001DD1
0AB       FFFFFF54         00000164         00000000000262A0
0AC       000001CB         FFFFFE8F         0000000000054ADA
0AD       00000069         0000014E         000000000001DED5
0AE       FFFFFF71         FFFFFF47         000000000000D592
0AF       0000014F         000000EE         00000000000293A5
0B0       FFFFFF4B         FFFFFE53         0000000000034EE2
0B1       000001A5         00000255         0000000000082492
0B2       FFFFFEE1         FFFFFF43         000000000001CD4A
0B3       000000AB         FFFFFFD9         000000000000782A
0B4       000001A4         00000106         000000000003BD34
0B5       FFFFFF94         FFFFFECC         000000000001A020
0B6       FFFFFFE4         00000136         0000000000017A74
0B7       000001DA         FFFFFE91         0000000000057BC5
0B8       FFFFFE67         0000026D         0000000000086FDA
0B9       00000092         FFFFFCD3         00000000000A692D
0BA       000000FD         00000288         0000000000076249
0BB       000000AD         FFFFFFE0         00000000000078E9
0BC       000000F7         00000158         000000000002BC91
0BD       FFFFFF67         FFFFFDBF         0000000000056FF2
0BE       00000145         000001A1         00000000000443DA
0BF       00000197         00000104         0000000000038F21
0C0       000000D4         FFFFFECF         0000000000021AF1
0C1       FFFFFEDE         000001C6         0000000000046DA8
0C2       00000319         FFFFFEDE         00000000000AE0F5
0C3       FFFFFF66         000000AB         000000000000CEDD
0C4       00000356         0000020F         00000000000F5DC5
0C5       FFFFFF02         FFFFFF90         0000000000012D04
0C6       00000240         FFFFFFDF         0000000000051441
0C7       00000280         00000264         00000000000BF710
0C8       000001C7         FFFFFF83         00000000000365BA
0C9       0000028A         000001B4         00000000000958F4
0CA       000002BA         00000170         0000000000098024
0CB       00000490         000002A7         00000000001BD9F1
0CC       000004DE         000000C9         0000000000184E55
0CD       00000758         00000511         00000000004F9961
0CE       00000B98         00000526         0000000000A0EBE4
0CF       00000F38         00000768         00000000011E7680
0D0       00001CD4         00000F73         00000000042DBD39
0D1       00003597         00001B3A         000000000E1D2835
0D2       00007FFD         000042B3         00000000515DC932
0D3       0001D4C5         0000F20E         000000043F3F585D
0D4       002C6855         001718B3         000009C97A493962
0D5       FF9399AD         FFC79E2D         00003A51709FD2D2
0D6       00415956         0021FCC7         00001531A1BF4B95
0D7       FFFD17A5         FFFE7BFB         0000000AC0703872
0D8       FFFF593A         FFFFA813         000000008AD8528D
0D9       FFFFC171         FFFFDE73         0000000013AF3B8A
0DA       FFFFE237         FFFFF174         00000000044AC461
0DB       FFFFF1D6         FFFFF68A         0000000001222148
0DC       FFFFF6BC         FFFFF9ED         00000000007ABF79
0DD       FFFFF9E9         FFFFFCA6         00000000003051B5
0DE       FFFFFED3         FFFFFF18         0000000000023429
0DF       FFFFFF3D         FFFFFE91         000000000002A2AA
0E0       000000A9         FFFFFEA7         0000000000024082
0E1       000000B9         FFFFFF6F         000000000000D7D2
0E2       000002F6         000000CE         0000000000096A28
0E3       000003CD         FFFFFF3C         00000000000F0839
0E4       00000414         000000FD         0000000000119B99
0E5       00000436         000000B5         0000000000123B5D
0E6       000006B1         00000016         00000000002CC845
0E7       00000657         000000CF         000000000028D8F2
0E8       000006DD         000001CB         00000000003251C2
0E9       00000ACF         000000D0         0000000000757C61
0EA       0000085F         00000236         00000000004AF6A5
0EB       00000C26         0000012F         000000000094FC45
0EC       00000DBD         000003C3         0000000000CAE412
0ED       000011D9         000000A8         00000000013EF831
0EE       00001159         00000431         00000000013E8252
0EF       000017C8         00000464         000000000248D350
0F0       00001ACC         00000424         0000000002DF37A0
0F1       0000223E         00000533         0000000004AF8F2D
0F2       000027CF         000007E2         00000000066EDCE5
0F3       00003370         00000865         000000000A9C48D9
0F4       0000408B         00000ADE         0000000010BBE3FD
0F5       000051F9         00000F17         000000001B233842
0F6       00006E37         000012A5         0000000030CEEE2A
0F7       00009418         000019E5         00000000584A4919
0F8       0000D2F1         00002535         00000000B338A3DA
0F9       00013BE6         000035E1         000000019126C265
0FA       0001EB39         00005588         00000003CB274AF1
0FB       0003474C         00009227         0000000B1313C081
0FC       00064BCE         00011810         00000028D67D5AC4
0FD       000EB069         00028C97         000000DE449E0C22
0FE       0031D29B         0008A777         000009FD3195232A
0FF       027E7B22         006EE667         00066874C892EDF5
100       F8772D8E         FEB0FA41         003A7B128C223F45
101       05692348         00F09635         001E28A8C16EEB39
102       FF7FEC6D         FFE9C0E3         000042027D0A6FB2
103       FFE67EB9         FFFB9287         0000029E1BBEE4E2
104       FFF69DE4         FFFE5E0C         0000005AB5EE43A0
105       FFFB828C         FFFF3851         00000014C4DC0631
106       FFFD828F         FFFF913C         00000006632891F1
107       FFFE79EE         FFFFBD27         0000000263CF7535
108       FFFF006B         FFFFD2A5         0000000107334B12
109       FFFF4C8C         FFFFE1EF         00000000815369B1
10A       FFFF8165         FFFFE81D         0000000040D78522
10B       FFFF9FEF         FFFFF0F5         0000000024EF0B9A
10C       FFFFB7B5         FFFFF322         00000000150FD67D
10D       FFFFC510         FFFFF515         000000000E08D4B9
10E       FFFFD2FD         FFFFF8D0         00000000081DB709
10F       FFFFDB90         FFFFF945         00000000055CFD99
110       FFFFE10C         FFFFFBD0         0000000003CFA190
111       FFFFE4F4         FFFFFB26         0000000002F31234
112       FFFFECD9         FFFFFBFB         00000000017EF80A
113       FFFFEC4B         FFFFFC70         0000000001910EF9
114       FFFFF165         FFFFFD83         0000000000DB82E2
115       FFFFF2EC         FFFFFE55         0000000000ADD1C9
116       FFFFF56B         FFFFFD78         00000000007662F9
117       FFFFF50F         FFFFFEAE         0000000000797525
118       FFFFF853         FFFFFE5D         00000000003D98B2
119       FFFFF841         FFFFFDBB         000000000041271A
11A       FFFFFA09         FFFFFF02         0000000000249055
11B       FFFFF91A         00000093         00000000002FEB0D
11C       FFFFFB24         FFFFFD47         00000000001F06C1
11D       FFFFFA5D         FFFFFF58         0000000000203409
11E       FFFFFC62         000000A6         00000000000D8128
11F       FFFFF9BB         FFFFFD01         000000000030489A
120       FFFFFDF9         00000139         0000000000059AE2
121       FFFFFC7B         FFFFFE7F         00000000000EA61A
122       FFFFFCEF         FFFFFF78         000000000009AF61
123       FFFFFDA1         FFFFFF74         000000000005EBD1
124       FFFFFC34         FFFFFFDD         00000000000E6F59
125       FFFFFD94         FFFFFFCE         000000000005E754
126       FFFFFE39         FFFFFF42         000000000003B5B5
127       FFFFFCC3         00000015         00000000000A7E42
128       FFFFFEA6         FFFFFF4D         00000000000250CD
129       FFFFFDCB         000000A1         000000000005443A
12A       FFFFFF26         FFFFFE8F         000000000002CD85
12B       FFFFFD41         00000003         0000000000078A8A
12C       FFFFFF81         00000039         0000000000004BB2
12D       FFFFFFDB         FFFFFFAC         00000000000020E9
12E       FFFFFDFF         FFFFFEF9         0000000000051232
12F       00000077         00000032         0000000000004115
130       FFFFFCFA         FFFFFF1F         000000000009E9E5
131       FFFFFFEE         000001B8         000000000002F584
132       FFFFFF76         FFFFFEA2         00000000000228E8
133       00000028         FFFFFFED         00000000000007A9
134       FFFFFF22         FFFFFEFB         000000000001CA9D
135       FFFFFEE0         0000022D         000000000005FFE9
136       FFFFFEFE         FFFFFCD8         00000000000AFA44
137       FFFFFF08         0000013E         0000000000027B44
138       FFFFFED7         FFFFFFD7         0000000000015F22
139       00000106         0000005A         0000000000012BC8
13A       FFFFFF66         FFFFFF95         000000000000895D
13B       FFFFFCF2         00000068         0000000000097F04
13C       0000011A         FFFFFFCD         00000000000140CD
13D       FFFFFEC0         FFFFFF15         00000000000267B9
13E       0000009D         00000026         00000000000065ED
13F       FFFFFE1A         000000E2         0000000000046228
140       000000C8         FFFFFF01         0000000000019A41
141       000000A9         0000009C         000000000000CEA1
142       FFFFFF77         FFFFFECB         000000000001BE4A
143       FFFFFF17         FFFFFFC9         000000000000DFE2
144       0000005D         000001C2         00000000000338CD
145       FFFFFE5D         FFFFFEF8         000000000003BE09
146       00000155         FFFFFF78         0000000000020E79
147       FFFFFF64         FFFFFFF9         0000000000005F41
148       FFFFFF3D         000000F3         0000000000017B32
149       FFFFFEE2         FFFFFF83         0000000000017C8D
14A       00000182         FFFFFF4C         000000000002C494
14B       FFFFFF3C         0000012C         000000000001F5A0
14C       FFFFFE4C         FFFFFE7C         00000000000532A0
14D       0000007F         0000016D         000000000002476A
14E       0000000F         FFFFFEC5         000000000001847A
14F       0000019B         0000013F         000000000004215A
150       FFFFFE9D         FFFFFEFF         000000000002EE4A
151       FFFFFED9         000000F0         00000000000234F1
152       000000F9         FFFFFEC1         0000000000027FB2
153       00000109         00000166         00000000000306F5
