CROSS-SPECTRA A (Real) 
Channal Frequency 
0 -> 512hz
1 -> 03khz
2 -> 10khz
3 -> 24khz
4 -> 33khz
HEX
(Ar01)	(Ar02)	(Ar03)	(Ar04)	(Ar12)	(Ar13)	(Ar14)	(Ar23)	(Ar24)	(A34)
0445	0c6f	0c2f	0c57	0c2a	0bea	0c04	0416	0420	03e7
044c	0c6a	0c38	0c65	0c21	0bee	0c0a	040e	0415	03ec
0455	0c67	0c42	0c75	0c18	0bf2	0c11	0407	040a	03f1
0461	0c67	0c4f	0c8b	0c11	0bf7	0c1a	0402	03ff	03f8
0471	0c6d	0c61	0ca8	0c0b	0bfd	0c27	03fe	03f1	0401
048b	0c7d	0c7e	0cd5	0c05	0c04	0c38	03fb	03d6	040e
046d	0c64	0c56	04f9	0c00	0c0c	0c58	03fa	0bc4	0425
0cc1	04a1	04bb	0558	0bfc	0c16	0c75	03fb	0c10	043e
0c84	0457	0484	0cfb	0bf8	0c23	0460	03fe	0423	0be9
0c66	042a	0478	0cae	0bf2	0c42	042e	040f	0407	041a
0441	0c73	0c2b	0c51	0c30	0be8	0c01	041b	0427	03e4
0446	0c6d	0c31	0c5a	0c28	0beb	0c05	0414	041d	03e8
0449	0c6b	0c34	0c5f	0c24	0bec	0c07	0410	0419	03ea
044d	0c69	0c39	0c67	0c1f	0bef	0c0b	040c	0413	03ed
0450	0c68	0c3c	0c6c	0c1c	0bf0	0c0d	040a	040f	03ee
0453	0c67	0c40	0c73	0c19	0bf2	0c10	0408	040b	03f0
0455	0c67	0c42	0c76	0c18	0bf3	0c11	0407	0409	03f2
0c62	0422	0476	0ca2	0bf2	0c42	0427	040f	0403	041c
0430	0c6d	0c1a	0c3c	0c2c	0bd8	0bf0	0416	0423	03d4
0c73	0444	0474	0cdd	0bea	0c17	0449	03f1	040f	0baf
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c63	03d4
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c63	03d4
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c63	03d4
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c64	03d4
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c64	03d3
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c64	03d4
042a	04a1	0c11	0c25	046a	0bd9	0bed	0c50	0c64	03d4
042a	04a2	0c11	0c25	046a	0bd9	0bed	0c50	0c64	03d4
042b	04a2	0c11	0c25	046a	0bd9	0bed	0c51	0c64	03d4
042b	04a2	0c11	0c25	046a	0bd9	0bed	0c51	0c64	03d4
042b	04a2	0c11	0c25	046a	0bd9	0bed	0c51	0c65	03d4
