CROSS-SPECTRA A (Real) 
Channal Frequency 
0 -> 512hz
1 -> 03khz
2 -> 10khz
3 -> 24khz
4 -> 33khz
HEX
(Ar01)	(Ar02)	(Ar03)	(Ar04)	(Ar12)	(Ar13)	(Ar14)	(Ar23)	(Ar24)	(A34)
0c2f	0481	0c6c	0c44	0c45	0430	0408	0c81	0c59	0445
0c2f	0481	0c6c	0c44	0c45	0430	0408	0c81	0c5a	0445
0c2f	0481	0c6c	0c44	0c45	0430	0408	0c82	0c5a	0445
0c2f	0481	0c6c	0c44	0c45	0430	0408	0c82	0c5a	0445
0c30	0481	0c6c	0c44	0c46	0430	0408	0c82	0c5a	0445
0c30	0482	0c6c	0c44	0c46	0430	0408	0c82	0c5b	0445
0c30	0482	0c6c	0c44	0c46	0430	0408	0c83	0c5b	0445
0c30	0482	0c6c	0c44	0c46	0430	0408	0c83	0c5b	0445
0c30	0483	0c6c	0c44	0c47	0430	0408	0c83	0c5c	0445
0c30	0483	0c6c	0c44	0c47	0430	0408	0c84	0c5c	0445
0c30	0484	0c6c	0c44	0c47	0430	0408	0c84	0c5d	0445
0c30	0484	0c6c	0c44	0c48	0430	0408	0c85	0c5d	0445
0c30	0485	0c6c	0c44	0c49	0431	0409	0c85	0c5e	0445
0c30	0486	0c6c	0c44	0c4a	0431	0409	0c86	0c5f	0445
0c30	0487	0c6c	0c44	0c4a	0431	0409	0c87	0c61	0445
0c30	0489	0c6c	0c45	0c4c	0431	0409	0c89	0c62	0445
0c30	048a	0c6d	0c45	0c4d	0431	0409	0c8a	0c63	0445
0c30	048c	0c6d	0c45	0c4e	0431	0409	0c8b	0c65	0445
0c30	048d	0c6d	0c45	0c50	0431	0409	0c8d	0c67	0446
0c30	048f	0c6d	0c45	0c51	0431	0409	0c8f	0c69	0446
0c31	0491	0c6d	0c45	0c53	0431	0409	0c91	0c6b	0446
0c31	0495	0c6d	0c46	0c56	0431	0409	0c94	0c6f	0446
0c31	049a	0c6e	0c46	0c5b	0431	040a	0c99	0c74	0446
0c31	04a1	0c6e	0c47	0c61	0432	040a	0c9f	0c7b	0447
0c32	04aa	0c6e	0c47	0c68	0432	040a	0ca7	0c84	0447
0c32	04b5	0c6f	0c48	0c72	0432	040b	0cb2	0c8f	0447
0c32	04c4	0c6f	0c48	0c81	0432	040b	0cc1	0c9f	0448
0c33	04de	0c70	0c49	0c9a	0433	040b	0cda	0cb9	0448
0c33	0d14	0c70	0c4a	04cd	0433	040c	050f	04ef	0449
0c34	0d35	0c71	0c4a	04ef	0433	040c	0530	0511	0449
0c35	0ccc	0c72	0c4c	0484	0434	040d	04c6	04a8	044a
0c36	0ca9	0c73	0c4d	045d	0435	040e	04a1	0486	044c
0c37	0c95	0c75	0c4f	0446	0436	040f	048c	0473	044d
0c38	0c88	0c77	0c52	0435	0437	0410	047d	0466	044f
0c3a	0c7e	0c78	0c54	0426	0438	0412	0470	045c	0450
0c3c	0c76	0c7a	0c57	0419	0439	0413	0466	0455	0452
0c3e	0c6f	0c7d	0c5a	040d	043a	0415	045d	044f	0454
0c40	0c6a	0c7f	0c5d	0401	043b	0417	0455	044b	0457
0c42	0c66	0c82	0c61	03f5	043d	0419	044e	0447	0459
0c45	0c63	0c85	0c65	03e8	043f	041b	0447	0445	045c
0c49	0c5f	0c8a	0c6c	03d4	0441	041e	043f	0442	0461
0c50	0c5e	0c93	0c77	03ab	0445	0424	0434	0442	0468
0c58	0c5f	0c9d	0c85	0b48	044a	042b	042a	0444	0471
0c64	0c64	0caa	0c98	0bae	044f	0434	0421	0449	047d
0c73	0c6e	0cbd	0cb2	0bca	0455	0440	0419	0451	048c
0c8d	0c84	0cda	0cdc	0bda	045c	0451	0410	0460	04a1
04d0	04c1	0524	0558	0be7	0464	0471	0406	047e	04c5
04c2	04b2	0517	0d7c	0bf1	046f	0ce2	03fa	0cf0	0d3e
0484	0472	04e1	0cf8	0bfb	047b	0c77	03e6	0c84	0cda
0464	0450	04d6	0ca4	0c09	049b	0c43	0bcb	0c53	0cbd
0c46	0c62	0c86	0c66	03e4	043f	041c	0445	0444	045d
0c4a	0c5e	0c8c	0c6e	03cb	0442	0420	043c	0442	0462
0c4d	0c5e	0c8f	0c72	03bd	0444	0422	0438	0442	0465
0c51	0c5d	0c94	0c79	039d	0446	0425	0432	0442	046a
0c54	0c5e	0c97	0c7d	0382	0447	0427	042f	0442	046c
0c57	0c5e	0c9b	0c83	0a28	0449	042a	042c	0443	0470
0c59	0c5f	0c9d	0c86	0b5f	044a	042c	042a	0444	0472
045f	044b	04d4	0c96	0c0a	049b	0c3b	0bcf	0c4c	0cb9
0c35	0c59	0c75	0c53	03e8	0430	040b	0441	043a	044c
0472	0460	04d1	0cd9	0bee	046f	0c5f	03d6	0c6d	0cc4
0c28	0479	0c65	0c3d	0c3d	0429	0401	0c79	0c51	043d
0c28	0479	0c65	0c3d	0c3d	0429	0401	0c7a	0c51	043d
0c28	0479	0c65	0c3d	0c3d	0429	0401	0c7a	0c52	043d
0c28	0479	0c65	0c3d	0c3d	0429	0401	0c7a	0c52	043d
0c28	0479	0c65	0c3d	0c3d	0429	0401	0c7a	0c52	043d
0c28	0479	0c65	0c3d	0c3e	0429	0401	0c7a	0c52	043d
0c28	0479	0c65	0c3d	0c3e	0429	0401	0c7a	0c52	043d
0c28	0479	0c65	0c3d	0c3e	0429	0401	0c7a	0c52	043d
0c28	047a	0c65	0c3d	0c3e	0429	0401	0c7a	0c52	043d
0c28	047a	0c65	0c3d	0c3e	0429	0401	0c7b	0c53	043d
0c28	047a	0c65	0c3d	0c3e	0429	0401	0c7b	0c53	043e
0c28	047a	0c65	0c3d	0c3f	0429	0401	0c7b	0c53	043e
0c28	047b	0c65	0c3d	0c3f	0429	0401	0c7b	0c54	043e
0c28	047b	0c65	0c3d	0c3f	0429	0401	0c7c	0c54	043d
0c29	047b	0c65	0c3d	0c3f	0429	0401	0c7c	0c54	043e
0c28	047c	0c65	0c3d	0c40	0429	0401	0c7c	0c55	043e
0c29	047c	0c65	0c3d	0c40	0429	0401	0c7c	0c55	043e
0c29	047c	0c65	0c3d	0c40	0429	0401	0c7d	0c55	043e
0c29	047d	0c65	0c3d	0c41	0429	0401	0c7d	0c56	043e
0c29	047e	0c65	0c3d	0c42	0429	0401	0c7e	0c57	043e
0c29	047f	0c65	0c3d	0c43	0429	0402	0c7f	0c58	043e
0c29	0480	0c65	0c3d	0c43	0429	0401	0c80	0c59	043e
